sample_id,index,R1_reads_no,R2_reads_no,quality_sequenced_reads_no,R1=R2,run_no,sequenced_time
C-CDC-SN-Lu-2-1,S7,244450,244450,212745,TRUE,2,1
C-CDC-SN-Lu-3-1,S17,241535,241535,216895,TRUE,2,1
C-CDC-SNN-Lu-1-1,S68,282461,282461,204200,TRUE,3,1
C-CDC-SNN-Lu-2-1,S72,279754,279754,235962,TRUE,3,1
C-CDC-SNN-Lu-3-1,S73,238494,238494,208213,TRUE,3,1
C-CDC-SPF100-Lu-1-1,S53,29,29,6,TRUE,3,1
C-CDC-SPF100-Lu-2-1,S57,54,54,17,TRUE,3,1
C-CDC-SPF100-Lu-3-1,S61,48,48,13,TRUE,3,1
C-CDC-SPF41-Lu-1-1,S46,38,38,18,TRUE,3,1
C-CDC-SPF41-Lu-2-1,S50,59,59,5,TRUE,3,1
C-CDC-SPF41-Lu-3-1,S54,59,59,11,TRUE,3,1
C-CDC-SPF5-Lu-1-1,S58,308,308,243,TRUE,3,1
C-CDC-SPF5-Lu-2-1,S62,567,567,239,TRUE,3,1
C-CDC-SPF5-Lu-3-1,S66,689,689,477,TRUE,3,1
C-CDC-SPF80-Lu-1-1,S65,18,18,4,TRUE,3,1
C-CDC-SPF80-Lu-2-1,S69,24,24,2,TRUE,3,1
C-CDC-SPF80-Lu-3-1,S42,26,26,6,TRUE,3,1
C-CDC-SPF-Lu-1-1,S70,4580,4580,4153,TRUE,3,1
C-CDC-SPF-Lu-2-1,S43,5689,5689,5205,TRUE,3,1
C-CDC-SPF-Lu-3-1,S47,9969,9969,4661,TRUE,3,1
C-CDC-SP-Lu-1-1,S45,858,858,533,TRUE,2,1
C-CDC-SP-Lu-2-1,S54,1188,1188,389,TRUE,2,1
C-CDC-SP-Lu-3-1,S63,1012,1012,328,TRUE,2,1
C-CDC-SPN-Lu-1-1,S51,1691,1691,244,TRUE,3,1
C-CDC-SPN-Lu-2-1,S55,6082,6082,3328,TRUE,3,1
C-CDC-SPN-Lu-3-1,S59,4626,4626,4181,TRUE,3,1
